Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-11-02 05:44:39Z : PB = 328761344 : In   : ------------------------------------ StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-11-02 05:44:39Z : PB = 328798208 : Out  : ------------------------------------ StyleCop.StyleCopCore..ctor()
2022-11-02 05:44:40Z : PB = 329146368 : Out  : --------------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\黃士儼\OneDrive\桌面\NTUT\111-1\視窗程式設計\HW\BookBorrowingSystem\debug.log
2022-11-02 05:45:03Z : PB = 342155264 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-11-02 05:45:03Z : PB = 342339584 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-11-02 05:45:03Z : PB = 343052288 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-11-02 05:45:03Z : PB = 342265856 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 2])
2022-11-02 05:45:03Z : PB = 342290432 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 2], ignoreCache=True, settingsPath=<null>)
2022-11-02 05:45:04Z : PB = 343838720 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-11-02 05:45:04Z : PB = 343842816 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-11-02 05:45:04Z : PB = 343851008 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:04Z : PB = 343875584 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:05Z : PB = 344350720 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:05Z : PB = 344350720 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:05Z : PB = 344367104 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:05Z : PB = 348278784 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:05Z : PB = 348278784 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:05Z : PB = 348307456 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:05Z : PB = 348307456 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:05Z : PB = 348311552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:05Z : PB = 348327936 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:05Z : PB = 348327936 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:05Z : PB = 348327936 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:06Z : PB = 354648064 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:06Z : PB = 354648064 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:06Z : PB = 354648064 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:06Z : PB = 354648064 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:06Z : PB = 354648064 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:06Z : PB = 354709504 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:06Z : PB = 354717696 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:06Z : PB = 354734080 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:06Z : PB = 360894464 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:06Z : PB = 360894464 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:06Z : PB = 360894464 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:06Z : PB = 360894464 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:06Z : PB = 360894464 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:06Z : PB = 361500672 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:06Z : PB = 361500672 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:06Z : PB = 361500672 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:07Z : PB = 368082944 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:07Z : PB = 368082944 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:07Z : PB = 368082944 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:07Z : PB = 368082944 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:07Z : PB = 368082944 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:07Z : PB = 368082944 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:07Z : PB = 368082944 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:07Z : PB = 368082944 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:07Z : PB = 374755328 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:07Z : PB = 374755328 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:07Z : PB = 374755328 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:07Z : PB = 374755328 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:07Z : PB = 374755328 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:07Z : PB = 374755328 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:07Z : PB = 374755328 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:07Z : PB = 374755328 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:07Z : PB = 381677568 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:07Z : PB = 381677568 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:07Z : PB = 381677568 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:07Z : PB = 381677568 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:07Z : PB = 381677568 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:07Z : PB = 381693952 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:07Z : PB = 381693952 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:07Z : PB = 381693952 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:08Z : PB = 388431872 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:08Z : PB = 388431872 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:08Z : PB = 388431872 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:08Z : PB = 388431872 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
